locality_it,locality_printed,skeleton,circoscrizione_it,circoscrizione_kind,circoscrizione_ar,shabiya_ar,shabiya_en,shabiya_pcode,shabiya_matched_level,tav_xx_page,appendix_page,circoscrizione_printed,mahalla_id,mahalla_ar,match_rule
el- Metèlfa,Metèlfa (el-),LMTLF,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Màrsa Lucch,Lucch (Màrsa),MRSLWK,porto bardia,residenza,البردية,البطنان,Butnan,LY0104,asserted,74,244,74 Residenza di Porto Bardia,,,no mahalla of that sound in the shabiya
Mezgùra,Mezgùra,MZKWR,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,244,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Luigi di Savoia,Luigi di Savoia,LWYGDYSWY,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,244,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Mèzzu,Mèzzu,MZW,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,244,60 Distretto di Giàdo,,,skeleton too short
Luigi Razza,Luigi Razza,LWYGRZ,,,,,,,,71,244,71,,,no shabiya
el- Mgarìn,Mgarìn (el-),LMKRYN,bengasi,,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,244,69 Residem;a di Bengasi,Benghazi-040,المقرون,semivowels dropped
el- Mgatran,Mgatran(el-),LMKTRN,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,244,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Miamìn (el-),"Miamìn (el-),",MYMYNL,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,244,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
"Migdàl (Didi ""ll-)","Migdàl(Didi ""ll-)",MYKDLDYDYL,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,244,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
Maàfen,Maàfen,MFN,traghen,mudiria,تراغن,مرزق,Murzuq,LY0322,asserted,78,244,78 M;ùdirla di Tràghen,,,skeleton too short
Mìsca (Oasi di),Mìsca (Oasi di),MYXSYDY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,244,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Ras l\1aàrref,l\1aàrref (Ras),RSLRF,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,244,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Misurata,Misurata,MYSWRT,misurata,residenza,مصراتة,مصراته,Misrata,LY0214,shabiya,65,244,65 Residenza di Misurata,,,no mahalla of that sound in the shabiya
el- Machàttra,Machàttra (el-),LMKTR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Mizda,Mizda,MYZD,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,244,61 Distretto di Mizda,,,no mahalla of that sound in the shabiya
Machrùga,Machrùga,MKRWK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Mleàb,Mleàb (el-),LMLB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Madah,Madah,MD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,244,63 Residenza di Tarhùna,,,skeleton too short
Mnèa,Mnèa,MN,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,244,79 Sottozona militare di el-Giòf,,,skeleton too short
el- Madanìa,Madanìa (el-),LMDNY,misurata,residenza,مصراتة,مصراته,Misrata,LY0214,shabiya,65,244,65 Residenza di Misurata,,,no mahalla of that sound in the shabiya
el- Mnèzza,Mnèzza (el-),LMNZ,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,244,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Madùr,Madùr,MDWR,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,244,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Montrùs,Montrùs,MNTRWS,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,244,"59 Resid,enza d,i Gariàn",,,no mahalla of that sound in the shabiya
Màga,Màga,MK,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,72,244,72 Distretto di Apollònia,,,skeleton too short
"Mòtred, (Oasi di el-)","Mòtred, (Oasi di el-)",MTRDSYDYL,sorman,distretto,صرمان,الزاوية,Zawiya,LY0213,baladiya,56,244,",56 Distretto di Sormàn",,,no mahalla of that sound in the shabiya
el- Magàrba,Magàrba (el-),LMKRB,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,244,59 Residenza di Gariàn ',,,no mahalla of that sound in the shabiya
Mràd,Mràd,MRD,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,244,"63' Residenza d,i el-Gusbàt",,,skeleton too short
Magedùl,Magedùl,MGDWL,umm el araneb,mudiria,أم الأرانب,مرزق,Murzuq,LY0322,asserted,78,244,78 Mudiria di Dmm el-Aràneb,Murzuq-012,مجدول,skeleton and shabiya
"Mrad,a","Mrad,a",MRD,,distretto,,,,,,58,244,"58 Distretto d,i Gasr el-Gal;""abùlli",,,no shabiya
Uàdi Màger,Màger (Uàdi),WDYMGR,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,244,65 Circondario di ZIiten,,,no mahalla of that sound in the shabiya
"Mrah (D àd,i el-)","Mrah (D àd,i el-)",MRHDYL,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,244,"59 Resid,enza di Gariàn",,,no mahalla of that sound in the shabiya
el~ Maggùs,Maggùs (el~),LMKWS,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Mrègheb,Mrègheb (el-),LMRKB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,name repeats in 1936 shabiya
Màgua,Màgua,MKW,traghen,mudiria,تراغن,مرزق,Murzuq,LY0322,asserted,78,244,78 Mudirla di Tràghen,,,skeleton too short
Mscìlia,Mscìlia,MXYLY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,244,"69 Residenza d,i Bengasi",,,no mahalla of that sound in the shabiya
"Mah (Dàdl,el-)","Mah (Dàdl,el-)",MHDL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Msed,Msed (el-),LMSD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,Murqub-020,المسيد,semivowels dropped
el- Mahàger,Mahàger (el-),LMHGR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Msellàta,Msellàta,MSLT,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,62,244,"62 Resid,enza di el-Gusbàt",,,no mahalla of that sound in the shabiya
Sìdi el- Mapagiùb,Mapagiùb (Sìdi el-),SYDYLMBGWB,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,244,63 Residenza di el-GUsbàt,,,no mahalla of that sound in the shabiya
Msindàra,Msindàra,MSYNDR,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,244,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
el- Maharùga,Maharùga (el-),LMHRWK,brach,mudiria,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,,244,"7S, Mudiria di Brach",Wadi al Shatii-014,محروقة,article dropped
el- Msufììn,Msufììn (el-),LMSWFYN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,244,"59 Resid,enza di Gariàn",,,no mahalla of that sound in the shabiya
Maharùghet el~Aiùn,Maharùghet el~Aiùn,MHRWKTLYWN,brach,mudiria,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,244,75 Mudirla di Brach,,,no mahalla of that sound in the shabiya
Sìdi Mugibèr,Mugibèr (Sìdi),SYDYMWGBR,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,244,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
Maharùghet el-Bilàd,Maharùghet el-Bilàd,MHRWKTLBYLD,brach,mudiria,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,244,75 Mudiria di Brach,,,no mahalla of that sound in the shabiya
Mùrzuch,Mùrzuch,MWRZWK,murzuch,mudiria,مرزق,مرزق,Murzuq,LY0322,shabiya,78,244,78 Mudirla di Mùrzuch,,,no mahalla of that sound in the shabiya
Mahasciùba,Mahasciùba,MHXYWB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Muslàn,"Muslàn,",MWSLN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,244,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Màia (Oasi di el-),Màia (Oasi di el-),MYSYDYL,zanzur,distretto,جنزور,البطنان,Butnan,LY0104,mahalla,56,244,56 Distretto di Zanzùr,,,no mahalla of that sound in the shabiya
el- Mutàref,Mutàref (el-),LMWTRF,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,244,"64 Residenza d,i Tarhùna",,,no mahalla of that sound in the shabiya
Màndara,Màndara,MNDR,el agheila,mudiria,العقيلة,الواحات,Al Wahat,LY0105,mahalla,77,244,77 Mudiria di Dà di el-Agiàl,,,no mahalla of that sound in the shabiya
Mzèina,Mzèina,MZYN,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,244,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
el- Mangùb,Mangùb (el-),LMNKWB,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,244,55 Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Saghìet el-Arca,Saghìet el-Arca,SKYTLRK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Rt)sidenza di Tarhùna,Rt)sidenza di Tarhùna,RTSYDNZDYTRHWN,,,,,,,,,245,,,,no shabiya
Saghìet el-Maatiìgh,Saghìet el-Maatiìgh,SKYTLMTYK,,,,,,,,63,245,63,,,no shabiya
en - N achliìn,N achliìn ( en - ),NKLYN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,245,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Saghìet esc-Scèlem,Saghìet esc-Scèlem,SKYTXLM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Uàdi en- Nàga,Nàga (Uàdi en-),WDYNK,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,73,245,73 Distretto di Derna,,,no mahalla of that sound in the shabiya
Saghìet et-Tra bèlsi,Saghìet et-Tra bèlsi,SKYTRBLSY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
en- Naggàza,Naggàza (en-),NKZ,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,245,62 Residenza di Homs,,,skeleton too short
Saghìet Freg,Saghìet Freg,SKYTFRK,,,,,,,,64,245,64,,,no shabiya
Bir en- Naghnaghi,Naghnaghi (Bir en-),BYRNKNKY,zanzur,distretto,جنزور,البطنان,Butnan,LY0104,mahalla,56,245,56 Distretto di Zanzùr,,,no mahalla of that sound in the shabiya
Saghìet Lafzah,Saghìet Lafzah,SKYTLFZ,,,,,,,,63,245,63,,,no shabiya
Bir en- Naìlll,Naìlll (Bir en-),BYRNYL,en nofilia,residenza,النوفلية,سرت,Sirte,LY0208,mahalla,67,245,67 Residenza di en-NofiBa,,,no mahalla of that sound in the shabiya
Saghìet Sìdi Hamèd,Saghìet Sìdi Hamèd,SKYTSYDYHMD,,,,,,,,64,245,64 .,,,no shabiya
Nalùt,Nalùt,NLWT,nalut,circondario,نالوت,نالوت,Nalut,LY0209,shabiya,58,245,58' Circondario di Nalùt,,,no mahalla of that sound in the shabiya
Saghìet Sìdi Mohàmed,Saghìet Sìdi Mohàmed,SKYTSYDYMHMD,,,,,,,,64,245,64,,,no shabiya
"Nàmes (Uàd,i)","Nàmes (Uàd,i)",NMSWDY,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,245,61 Distretto di Mìzda,,,no mahalla of that sound in the shabiya
Saghìet Uascir,Saghìet Uascir,SKYTWXYR,,,,,,,,64,245,64,,,no shabiya
Sìdi Nàsser,Nàsser (Sìdi),SYDYNSR,misurata,residenza,مصراتة,مصراته,Misrata,LY0214,shabiya,66,245,66 Residenza di Misurata,,,no mahalla of that sound in the shabiya
Saghìet Zèd,Saghìet Zèd,SKYTZD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
4 64,4 64,,,,,,,,,,245,,,,no shabiya
el- Nàtmer,Nàtmer (el-),LNTMR,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,245,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Sàhel el-Ahàmed,Sàhel el-Ahàmed,SHLHMD,,,,,,,,62,245,62,,,no shabiya
en- Nàura,Nàura (en-),NWR,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,245,55 Distretto di Sabràtha,,,skeleton too short
Sìdi es- Saiàh,Saiàh (Sìdi es-),SYDYSY,,,,,,,,62,245,62,,,no shabiya
Naustàthmus,Naustàthmus,NWSTHMWS,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,73,245,73 Distretto di Apollònia,,,no mahalla of that sound in the shabiya
Uàdi es- Saiàh,Saiàh (Uàdi es-),WDYSY,,,,,,,,62,245,62,,,no shabiya
Nedbàs,Nedbàs,NDBS,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,245,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Sìdi Saìd,Saìd (Sìdi),SYDYSYD,,,,,,,,55,245,55,,,no shabiya
en- Nèdua,Nèdua (en-),NDW,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,,245,6r Distretto di Giàdo,,,skeleton too short
Saiiàd (Oasi di),Saiiàd (Oasi di),SYDSYDY,,,,,,,,56,245,56,,,no shabiya
Nèsma,Nèsma,NSM,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,245,61 Distretto di Mìzda,,,skeleton too short
Sambàr,Sambàr,SMBR,,,,,,,,72,245,72,,,no shabiya
en- NonBa,NonBa (en-),NB,en nofilia,residenza,النوفلية,سرت,Sirte,LY0208,mahalla,67,245,67 Residenza di en-Nonlìa,,,skeleton too short
es- Samhudìa,Samhudìa (es-),SMHWDY,,,,,,,,68,245,68,,,no shabiya
en- Ntatàt,Ntatàt (en-),NT,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,245,59 Residenza di Gariàn,,,skeleton too short
Sàniet el-Himàra,Sàniet el-Himàra,SNYTLHYMR,,,,,,,,68,245,68,,,no shabiya
Uàdi Sarìa,Sarìa (Uàdi),WDYSRY,,,,,,,,64,245,64,,,no shabiya
Satìa,Satìa,STY,,,,,,,,72,245,72,,,no shabiya
Oghidèn,Oghidèn,KYDN,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,245,55 Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Sìdi Sbagh,Sbagh (Sìdi),SYDYSBK,,,,,,,,72,245,72,,,no shabiya
Omm el-Coàl,Omm el-Coàl,MLKL,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,245,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Bir es- Sbèa,Sbèa (Bir es-),BYRSB,,,,,,,,57,245,57,,,no shabiya
Omm el-Hallùf,Omm el-Hallùf,MLHLWF,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,245,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Scebèca,Scebèca,XBK,,,,,,,,55,245,55,,,no shabiya
Suàni Osmàn,Osmàn (Suàni),SWNYSMN,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,245,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
Scèbet Guasem,Scèbet Guasem,XBTKWSM,,,,,,,,64,245,64,,,no shabiya
Scebiiàn (esc-),Scebiiàn (esc-),XBYNX,,,,,,,,55,245,55,,,no shabiya
Sceeh Sci ùeh,Sceeh Sci ùeh,XHXYW,,,,,,,,60,245,60,,,no shabiya
Pisida,Pisida,BYSYD,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,245,55 Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Bir ese- Seefèrzen,Seefèrzen (Bir ese-),BYRSFRZN,,,,,,,,74,245,74,,,no shabiya
Scefì,Scefì,XFY,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,,245,Distretto di Giàdo,,,skeleton too short
Porto Bardìa,Porto Bardìa,BRTBRDY,porto bardia,residenza,البردية,البطنان,Butnan,LY0104,asserted,74,245,74 Residenza di Porto Badrìa,,,no mahalla of that sound in the shabiya
Seeghèga,Seeghèga,SK,,,,,,,,62,245,62,,,no shabiya
Sceghèga (esc-),Sceghèga (esc-),XKX,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,skeleton too short
Seeiàb (esc-),Seeiàb (esc-),SYBX,,,,,,,,61,245,61,,,no shabiya
(Oasi,(Oasi,SY,,,,,,,,,245,,,,no shabiya
Ràbta el-Garbìa,Ràbta el-Garbìa,RBTLKRBY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,245,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Scellalàt (es c-),Scellalàt( es c- ),XLTX,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,,245,Distretto di Agedàbia,,,no mahalla of that sound in the shabiya
di er-),di er-),DYR,,,,,,,,,245,,,,no shabiya
Seèmza (ese-),Seèmza (ese-),SMZS,,,,,,,,59,245,59,,,no shabiya
Ràbta esc-Scerghìa,Ràbta esc-Scerghìa,RBTXRKY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,245,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Scenèiscen,Scenèiscen,XNYXN,,,,,,,,72,245,72,,,no shabiya
(Oasi di er-),(Oasi di er-),SYDYR,,,,,,,,,245,,,,no shabiya
Gasr el- Scenenàt,Scenenàt (Gasr el-),KSRLXNT,,,,,,,,75,245,75,,,no shabiya
er- Ragùba,Ragùba (er-),RKWB,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,245,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Uàdi esc- Scèrghi,Scèrghi (Uàdi esc-),WDYXRKY,,,,,,,,58,245,58,,,no shabiya
er- Ràmla,Ràmla (er-),RML,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,245,63 Residenza di Tarhùna,,,skeleton too short
Seetèui (S1di),Seetèui (S1di),STWYSDY,,,,,,,,65,245,65,,,no shabiya
er- Rasciah,Rasciah (er-),RXY,zanzur,distretto,جنزور,البطنان,Butnan,LY0104,mahalla,56,245,56 Distretto di Zanzùr .,,,skeleton too short
Scetìb en-Niàgh,Scetìb en-Niàgh,XTYBNYK,,,,,,,,62,245,62,,,no shabiya
er- Rbèa,Rbèa (er-),RB,castel benito,distretto,بن غشير,طرابلس,Tripoli,LY0211,asserted,58,245,58 Distretto di Castel Benito,,,skeleton too short
Sciaàb el-Charrùb,Sciaàb el-Charrùb,XYBLKRWB,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,,245,Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
Rcab el-Bèter,Rcab el-Bèter,RKBLBTR,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,245,71 Distretto di Gèrdes Gerràri,,,no shabiya
Sciàabet el- Maggùs,Sciàabet el- Maggùs,XYBTLMKWS,,,,,,,,63,245,63-64,,,no shabiya
Rdèina,Rdèina,RDYN,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,72,245,72 Distretto di Apollònia,,,no mahalla of that sound in the shabiya
Sciàabet Ulàd Abdàlla,Sciàabet Ulàd Abdàlla,XYBTWLDBDL,,,,,,,,64,245,64,,,no shabiya
Rebiàna,Rebiàna,RBYN,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,245,79 Sotto zona militare di el-Giòf,Kufra-004,ربيانة,skeleton and shabiya
Sciàabet Umbàrech,Sciàabet Umbàrech,XYBTWMBRK,,,,,,,,62,245,62,,,no shabiya
Regdalìn,Regdalìn,RKDLYN,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,245,55 Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Sciaatàn,Sciaatàn,XYTN,,,,,,,,59,245,59,,,no shabiya
er- Règima,Règima (er-),RGM,tocra,residenza,توكرة,المرج,Marj,LY0102,baladiya,70,245,70 Residenza di Tòcra,,,skeleton too short
Sciàbet,Sciàbet,XYBT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Règregh,Règregh,RKRK,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,245,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Sciàbet Aàied,Sciàbet Aàied,XYBTYD,,,,,,,,64,245,64,,,no shabiya
er- Rehibàt,Rehibàt (er-),RHYBT,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,245,61 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Sciàbet el- Adùl,Sciàbet el- Adùl,XYBTLDWL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Bir er- Rfafìa,Rfafìa (Bir er-),BYRFY,suani ben adem,distretto,سواني بن آدم,الجفارة,Jafara,LY0212,asserted,58,245,58 Distretto di Suàni ben Adem,,,no mahalla of that sound in the shabiya
Sciàet (esc-),Sciàet (esc-),XYTX,,,,,,,,64,245,64,,,no shabiya
er- Rghèba,Rghèba (er-),RKB,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,245,77 Mudiria di Uàdi el-Agiàl,,,skeleton too short
Sciagàrna (esc-),Sciagàrna (esc-),XYKRNX,,,,,,,,61,245,61,,,no shabiya
er- Rgheghìs,Rgheghìs (er-),RKYS,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,245,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sciahhàt,Sciahhàt,XYHT,,,,,,,,72,245,72,,,no shabiya
er- Rghìga,Rghìga (er-),RKYK,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,245,65 Circondario di Z1ìten,,,no mahalla of that sound in the shabiya
Sìdi es c- Sciàref,Sciàref (Sìdi es c- ),SYDYXYRF,,,,,,,,64,245,64,,,no shabiya
er- Rhàba,Rhàba (er-),RHB,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,245,69 Residenza di' Bengasi,,,skeleton too short
Sciàren,Sciàren,XYRN,,,,,,,,60,245,60,,,no shabiya
er- Rhèm,Rhèm (er-),RHM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,245,64 Residenza di Tarhùna,,,skeleton too short
Sciàti,Sciàti,XYTY,,,,,,,,,245,,,,no shabiya
centrale,centrale,KNTRL,,,,,,,,,245,,,,no shabiya
(Uàdi,(Uàdi,WDY,,,,,,,,,245,,,,no shabiya
er- Riàina,Riàina (er-),RYN,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,245,61 Distretto di Ièfren,,,skeleton too short
esc- ),esc- ),X,berghin,mudiria,برقن,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,,245,Mudirìa di Bèrghin,,,skeleton too short
er- Rmemìn,Rmemìn (er-),RMYN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,245,64 Residenza di Tarhùna.,,,no mahalla of that sound in the shabiya
Sciàti occidentale (Uàdi,Sciàti occidentale (Uàdi,XYTYKYDNTLWDY,,,,,,,,,245,,,,no shabiya
er- Ròda,Ròda (er-),RD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,245,64 Residenza di Tarhùna,,,skeleton too short
esc-),esc-),X,edri,mudiria,إدري,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,74,245,74 Mudiria di Èdri,,,skeleton too short
Uàdi er- Rodàt,Rodàt (Uàdi er-),WDYRDT,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,245,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
Sciàti orientale,Sciàti orientale,XYTYRYNTL,,,,,,,,,245,,,,no shabiya
(Uàdi,(Uàdi,WDY,,,,,,,,,245,,,,no shabiya
Ròdet el-Hag Abdàlla,Ròdet el-Hag Abdàlla,RDTLHKBDL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,245,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
esc-),esc-),X,,,,,,,,,245,,,,no shabiya
lVIudiria di Brach,lVIudiria di Brach,LWYWDYRYDYBRK,,,,,,,,,245,,,,no shabiya
er- Rogebàn,Rogebàn (er-),RGBN,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,245,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Sciàua,Sciàua,XYW,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,,245,Residenza di Nalùt,,,skeleton too short
Uàdi er- Rtèm,Rtèm (Uàdi er-),WDYRTM,en nofilia,residenza,النوفلية,سرت,Sirte,LY0208,mahalla,67,245,67 Residenza di en-Ncifi1ìa,,,no mahalla of that sound in the shabiya
Scibùn,Scibùn,XYBWN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
er- Rubdiàt,Rubdiàt(er-),RWBDYT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,245,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
