date,year,month,currency_in_circulation,cash_in_vault,deposits_with_central_bank,bank_reserves_total,public_enterprise_demand_deposits,monetary_base
2016-09-30,2016,9,26180.9,608.6,21823.2,22431.8,2114.8,50727.5
2016-10-31,2016,10,26452.5,690.5,22542.5,23233.0,2116.1,51801.6
2016-11-30,2016,11,26806.4,647.0,23648.4,24295.4,2114.8,53216.6
2016-12-31,2016,12,27103.2,594.7,24779.5,25374.2,2120.2,54597.6
2017-01-31,2017,1,27271.3,605.2,24624.1,25229.3,2149.9,54650.5
2017-02-28,2017,2,27560.9,718.2,23813.4,24531.6,2203.4,54295.9
2017-03-31,2017,3,27845.2,790.0,25754.6,26544.6,2175.4,56565.2
2017-04-30,2017,4,28097.6,739.1,26541.9,27281.0,2203.2,57581.8
2017-05-31,2017,5,28209.1,716.9,27798.9,28515.8,2212.8,58937.7
2017-06-30,2017,6,29039.0,618.0,29298.4,29916.4,2241.2,61196.6
2017-07-31,2017,7,29198.5,607.5,27037.7,27645.2,2219.2,59062.9
2017-08-31,2017,8,29830.5,615.5,27734.1,28349.6,2297.8,60477.9
2017-09-30,2017,9,29765.4,699.9,28444.8,29144.7,2304.9,61215.0
2017-10-31,2017,10,30255.5,629.5,29006.2,29635.7,1803.6,61694.8
2017-11-30,2017,11,30627.3,632.1,28765.4,29397.5,1801.1,61825.9
2017-12-31,2017,12,30865.2,537.8,30267.8,30805.6,1529.1,63199.9
2018-01-31,2018,1,31070.9,608.5,30419.9,31028.4,1580.6,63679.9
2018-02-28,2018,2,31454.3,472.4,30283.4,30755.8,1586.3,63796.4
2018-03-31,2018,3,31793.1,699.6,30573.5,31273.1,1582.7,64648.9
2018-04-30,2018,4,31827.1,935.5,29801.0,30736.5,1610.5,64174.1
2018-05-31,2018,5,32388.8,815.8,33170.5,33986.3,1626.7,68001.8
2018-06-30,2018,6,32964.1,858.0,33041.9,33899.9,1610.5,68474.5
2018-07-31,2018,7,33635.0,947.0,33789.3,34736.3,1638.2,70009.5
2018-08-31,2018,8,34720.7,595.3,36659.3,37254.6,1743.6,73718.9
2018-09-30,2018,9,34827.5,559.6,36998.8,37558.4,1642.9,74028.8
2018-10-31,2018,10,34400.6,1023.4,31666.3,32689.7,1642.9,68733.2
2018-11-30,2018,11,34489.5,1686.3,27313.2,28999.5,1495.7,64984.7
2018-12-31,2018,12,34723.8,1581.2,23455.6,25036.8,1638.5,61399.1
2019-01-31,2019,1,35261.5,1120.0,27685.9,28805.9,1692.3,65759.7
2019-02-28,2019,2,35581.3,1116.4,24438.6,25555.0,1694.0,62830.3
2019-03-31,2019,3,35244.8,1529.1,22766.7,24295.8,1710.0,61250.6
2019-04-30,2019,4,35374.0,1776.8,24393.0,26169.8,1741.3,63285.1
2019-05-31,2019,5,36236.9,1500.5,23618.9,25119.4,1616.6,62972.9
2019-06-30,2019,6,36368.9,1552.2,22150.9,23703.1,1788.0,61860.0
2019-07-31,2019,7,36052.6,2325.4,22114.1,24439.5,1794.0,62286.1
2019-08-31,2019,8,36633.0,2223.8,22390.4,24614.2,1840.1,63087.3
2019-09-30,2019,9,36016.6,2884.3,19611.0,22495.3,1842.4,60354.3
2019-10-31,2019,10,36382.0,2517.5,19655.4,22172.9,1562.6,60117.5
2019-11-30,2019,11,36959.2,1957.7,20409.3,22367.0,1553.4,60879.6
2019-12-31,2019,12,36724.2,2322.7,19454.7,21777.4,1571.5,60073.1
2020-01-31,2020,1,36080.4,3004.6,18368.1,21372.7,1566.7,59019.8
2020-02-29,2020,2,34607.8,3760.9,14701.7,18462.6,1560.0,54630.4
2020-03-31,2020,3,35223.9,2822.7,19091.3,21914.0,1542.8,58680.7
2020-04-30,2020,4,35475.5,2919.9,21149.0,24068.9,1534.4,61078.8
2020-05-31,2020,5,35823.5,2573.4,19705.9,22279.3,1534.4,59637.2
2020-06-30,2020,6,36203.1,2259.4,19092.9,21352.3,1488.5,59043.9
2020-07-31,2020,7,37663.8,1543.2,18747.0,20290.2,1482.2,59436.2
2020-08-31,2020,8,37721.4,1547.8,19073.8,20621.6,1489.4,59832.4
2020-09-30,2020,9,38280.0,1566.6,19828.8,21395.4,1484.7,61160.1
2020-10-31,2020,10,38843.1,1210.7,20622.8,21833.5,1443.2,62119.8
2020-11-30,2020,11,39217.6,1185.7,22193.6,23379.3,1446.6,64043.5
2020-12-31,2020,12,39732.0,1128.9,24245.7,25374.6,1425.2,66531.8
2021-01-31,2021,1,37378.7,2925.9,17342.0,20267.9,2109.0,59755.6
2021-02-28,2021,2,37702.1,3314.9,15750.6,19065.5,1230.4,57998.0
2021-03-31,2021,3,36492.0,3532.7,15784.8,19317.5,1555.0,57364.5
2021-04-30,2021,4,36312.8,3054.8,15580.8,18635.6,1537.6,56486.0
2021-05-31,2021,5,36143.4,2780.8,17243.2,20024.0,1517.8,57685.2
2021-06-30,2021,6,34374.7,3642.6,16367.9,20010.5,1512.5,55897.7
2021-07-31,2021,7,35192.2,2424.4,15325.1,17749.5,1596.1,54537.8
2021-08-31,2021,8,33927.8,2943.4,27606.4,30549.8,1561.5,66039.1
2021-09-30,2021,9,33336.5,2984.6,23786.0,26770.6,1474.1,61581.2
2021-10-31,2021,10,33153.7,3166.4,22042.0,25208.4,1323.3,59685.4
2021-11-30,2021,11,32089.0,3384.1,21973.2,25357.3,1470.8,58917.1
